score,content,date,app,platform,keyword1,keyword2,keyword3,privacy-related
1,"fraudulent, so i open the app to start using it. 1st off it wants your facebook or email to create a account. then 2nd they only give you a 7-day trial and after that its 69.99 per year. i thought this was a free app. my mistake if i missed that disclosure somewhere, but you got to give someone more than 7 days to feel this out if you want my 70 bucks a year. i think that is so deceitful you get my info so you can bug me, when your app didn't do anything.",10/27/2020 1:48,calm,google,email,facebook,,1
1,riiiiiiiiiiiiiipppp ooooooooooffffffffi'm literally a child and it says email last name first name i can't do that on maternal child i need it but no rip off,3/10/2020 20:08,headspace,google,email,last name,,1
1,i did not give this app permission to my email address but iÃ£Â¢Ã¢ÂÃ¢Âm still getting daily emails. if this issue is not fixed the app developer could be fined or sued.,4/7/2021 10:23,headspace,apple,email,permission,,1
1,"i am not happy when apps ask for your permission and email address before they tell you that it's a 7 day trial and it the Ã£Â¢Ã¢Â£37.99 i would prefer they inform you of the cost before, in app purchases is not adequate. i deleted it straight away but now the developers have my email address.",4/24/2019 5:17,calm,google,email,permission,,1
1,"sends unwanted emails checking up on your usage of the application. considering this app advertises itself as a sort of 'health' app, this is a ridiculous violation of privacy.",1/16/2017 1:40,sanvello,apple,email,privacy,,1
1,privacy problems - wants your fb or email,6/26/2019 18:14,calm,google,email,privacy,,1
1,"offs, it's not enough you ""accept"" all the privacy violation here, when you go to try it, you can't get started until you give email etc. so invasive & aggressive! creepy. uninstalling it. all i wanted was to see what it is cause ad barely tells you a thing. i have aphantasia- can't picture anything, zero imagination, just wired wrong... so i need guided meditations that avoid standard schtick like ""you're floating in a sunny lagoon..."" a 10s sample would be the civilised way to offer it.",2/14/2019 15:37,headspace,google,email,privacy,,1
1,"i would never have downloaded an app that would charge me $60 after 7 days, if i had known that before downloading. furthermore, thereÃ£Â¢Ã¢ÂÃ¢Âs no way to easily delete your account once you have submitted your email. this app was supposed to help me calm down, but instead it has just stressed me out more.",10/30/2019 13:09,calm,apple,email,,,1
1,i give every app that exposes literally none of its functionality without a required account one star. i don't need to give you my email address and i think it is incredibly scammy to show screenshots that you have no way to access without signing up for a spam list. there's no reason you need an account for something you're giving away other than lead gen and spam. no thanks.,2/18/2015 14:21,headspace,apple,email,,,1
1,"i used for a week, tried to take a monthly subscription, payment information seemed to take ok but then just bounced me back to login screen.  could not find a way to contact head space and ask for help, email, phone number ... emails sent to me can't be replied to. i have the feeling this is some kind of fancy scam, very disapointed.  i hope someone will call me and straighten it out.",5/11/2015 0:08,headspace,apple,email,,,1
1,you don't learn that you have to pay until after you give them your email!,6/27/2021 6:44,calm,google,email,,,1
1,it makes me pay money and put my email and password in which i do not trust putting my information in,2/16/2021 5:01,calm,google,email,,,1
1,"looks good, but paywall too strict. beginners can't even fully explore what app has to offer without signing up for premium. i'm not going to pay for something if i don't really get a taste of what i like. even with 7 day offer, it takes longer than that to realize the benefits. asleep the whole email signups before showed into the app is bs. app just wants to collect emails",1/5/2021 3:54,calm,google,email,,,1
1,"so you wait until after you collect my email address to tell me it costs $70 after a 7-day free trial? yeah, that's a load of horseshit.",5/8/2020 8:29,calm,google,email,,,1
1,it's a pay app. wish they would tell you before you give an email.,4/16/2020 9:40,calm,google,email,,,1
1,it's not free. it's a 7 day trial. opening it after giving them your email sends you straight to a payment screen. don't say apps are free if they aren't. not acceptable! deleted.,2/19/2020 16:49,calm,google,email,,,1
1,they get yr email then try 2 make you buy it carp,1/13/2020 16:49,calm,google,email,,,1
1,1st thing it ask for is a fb account or email....no thanks.,12/6/2019 0:56,calm,google,email,,,1
1,"you put in your name , email and then you have to pay ! really!",10/7/2019 16:32,calm,google,email,,,1
1,bull sh i t system where you have to sign up with an email before they tell you it's $60 a year. just be honest and tell people before hand . they probably won't sign up then. scammer,9/25/2018 20:25,calm,google,email,,,1
1,"you r nothing the way u use to be. the app use to be free, u didnt have to log in and there were more choices to listen to. u screwed this app all up. and the one one didnt require facebk or email accounts. thanks for nothing ill be uninstalling this app for sure.",3/29/2018 15:50,calm,google,email,,,1
1,they sell your email address and you will get hit with a bunch of spam emails. uninstalled immediately. still getting spam.,11/8/2017 15:46,calm,google,email,,,1
1,why do you need my email address?,9/25/2017 11:24,calm,google,email,,,1
1,omg so stupid how it requires and email why do people do that you want people to get your app then dont do that,2/13/2021 7:49,headspace,google,email,,,1
1,disappointed that you have to give your email address to use the app: why?,10/7/2019 10:07,headspace,google,email,,,1
1,this app asks for the users email why does it need to kniw this in order to meditate trust me find a different app,9/29/2019 20:10,headspace,google,email,,,1
1,one star because she need the email adress booooooooÃ£Â°Ã¢ÂÃ¢ÂÃ¢ÂÃ£Â°Ã¢ÂÃ¢ÂÃ¢ÂÃ£Â°Ã¢ÂÃ¢ÂÃ¢ÂÃ£Â°Ã¢ÂÃ¢ÂÃ¢Â±Ã£Â¢Ã¢ÂÃ¢ÂÃ£Â°Ã¢ÂÃ¢ÂÃ¢ÂÃ£Â°Ã¢ÂÃ¢ÂÃ¢Â¹Ã£Â°Ã¢ÂÃ¢ÂÃ¢Â·loser,9/20/2019 3:01,headspace,google,email,,,1
1,just another app to steal your data. first thing it asks for is your email address and password. no explanation of why it's needed. such apps don't deserve any support at all.,4/12/2019 19:05,headspace,google,email,,,1
1,awful. the app chooses meditations for you. (?) based on what? my email address? i told the app i meditated a lot and i do and it put me down for a ten minute session per day. that's quite funny. i really like youtube for choice and i've never had to pay Ã£Â¢Ã¢Â£75 a year for enlightenment either...,4/6/2019 13:12,headspace,google,email,,,1
2,"i love apps and many that i have purchased. but do not advertise your app as free. then you download it is when you find out itÃ£Â¢Ã¢ÂÃ¢Âs only free for 7 days. 

if you canÃ£Â¢Ã¢ÂÃ¢Ât be straight up with us, how are to have a level in confidence in you and your product. so now you folks email addresses and fb login. 

app removed.",1/15/2018 15:42,calm,apple,email,,,1
1,does it need to connects to facebook to calm anxiety?,1/28/2020 8:26,calm,google,facebook,,,1
1,total misrepresentation. introductory lesson is free for about 10 minutes and then get out your credit card. why has greed and profiteering taken over the world of meditation. it feels as if theyÃ£Â¢Ã¢ÂÃ¢Âve been facebooked!Ã£Â°Ã¢ÂÃ¢ÂÃ¢Â,4/12/2019 18:25,headspace,apple,facebook,,,1
1,canÃ£Â¢Ã¢ÂÃ¢Ât login unless they get your facebook. smh,9/25/2020 4:45,headspace,apple,facebook,,,1
1,installed --> only facebook or apple log ins (no google option) --> uninstall,11/13/2020 10:34,headspace,apple,facebook,,,1
1,i haven't used facebook in years and don't plan to when there are other options available to me,3/22/2019 2:04,calm,google,facebook,,,1
1,1) why do i need to create an account or log in with facebook for this? 2) neither options worked.,10/12/2018 11:05,calm,google,facebook,,,1
1,this app demands your email or facebook just to show you ads for their $10/month audiobook subscription. there is no free content without first giving up your email. then seconds later you'll run out of free samples,9/11/2018 13:10,calm,google,facebook,,,1
1,i see no reason why i should have to log in with or without facebook just to use an app. so however good this app really is i guess i'll never know why do people insist on having people login ??!! please explain some time!!!,9/10/2018 18:47,calm,google,facebook,,,1
1,"tell people it's a subscription based app before they download it and 
connect it to facebook",6/23/2018 12:53,calm,google,facebook,,,1
1,"i hate it so much........i was hoping to get my stress to relieve and nope 
nope nope i had to sign into facebook or email so i just decided to delete 
this app........but by wit i've herd by friends it's a good app.......",6/6/2018 21:55,calm,google,facebook,,,1
1,"app starts of wanting you to sign in with facebook or an email, has a tos, 
paywalls stuff. basically induces the exact opposite of calm",6/3/2018 19:10,calm,google,facebook,,,1
1,it just wants to sell you stuff. the breathing exercise that was featured on the facebook ad was nowhere to be found.,2/11/2018 20:53,calm,google,facebook,,,1
1,"first you show add on facebook, then get us to download you app, then signup is mandatory... and when person finally wants to see something, you ask for money.  this os cheating, why don't you ask upfront that this costs money.",1/24/2018 23:39,calm,google,facebook,,,1
1,facebook login?  really?,3/23/2017 23:05,calm,google,facebook,,,1
1,apple or facebook id really? . no thank you. start your free trial?? really no indication ever given that it is paid app. seriously annoying password prompts and inputs. overall just annoying and and lying and hidig describe this app.,1/26/2020 5:37,headspace,google,facebook,,,1
1,"can't even create an account, it just says something went wrong. and no, i don't want to sign in through facebook.",11/18/2019 11:47,headspace,google,facebook,,,1
1,"cannot log in, create a new account or log in thru facebook. this is creating more anxiety.",9/22/2019 3:03,headspace,google,facebook,,,1
1,i can't even make account. everytime i fill everything out and click get started ot says something went wrong. im not linking my facebook either. guess i'll take my business elsewhere.,7/18/2019 10:53,headspace,google,facebook,,,1
2,i don't like it because i don't want to sign up using facebook and don't like the trouble of signing up by email.,6/14/2020 22:09,calm,google,facebook,,,1
2,"tried app to relax and meditate, but it asks for facebook acc (why???) then 
gives me so long intro about how mediation is good for me, nope, i know 
about meditation, why do i need to listen ads? and that's terrible white 
noice at welcome screen, hate it.",5/30/2018 16:30,calm,google,facebook,,,1
2,"the amount of spam in this app is incredible. i try to log on to do something, it has another pop up trying to get me to do something else. it's disruptive and annoying. i switched off notifications, but still get them. the meditations are fantastic. the app is worse that facebook.",1/3/2021 12:44,headspace,google,facebook,,,1
2,"lifelong insomniac here, had great success with the trial period and ended up buying a full membership. opened the app after 2 months of regular use, was logged out and unable to log back in. followed the link to reset my password, still treated me like a new guest that needed a ""free trial"". tried to log in via facebook, same outcome. all my data gone. tried emailing customer support, no response. i just want to go to sleep, you guys. help me or refund me.",11/13/2019 0:59,headspace,google,facebook,,,1
2,"seems like a well intended app. unfortunately, they are stalkers that sell out your usage to facebook without your consent and despite not logging in with facebook or giving any of your facebook info to them. lamest part is they don't give you any options to permanently opt out of sharing your habits and usage without prior approval from you.",7/11/2020 9:32,calm,google,facebook,,,1
2,"got to pay for everything. each time i change a picture from one of the stories. bang! another lock, and the sign-up screen, and guess what? facebook!!!!! now known as one of the most dangoures social apps. you hear the stories about thousands of people having to fight to regain their identity. not secure enough for my peice of mind. have removed the app. end of line!!!!!",5/4/2020 17:13,calm,google,facebook,,,1
2,"why would you pay for an app to make sleep noise when there are about 2,000 
apps that do that for free plus they want you to log in and give them their 
facebook information this app is complete waste of time they want you to 
pay after 7 days don't waste your time or money there are plenty of great 
free apps out there",7/5/2018 8:18,calm,google,facebook,,,1
2,app upgrade demands identity information.  too invasive. you can request in app but not as part of install. who do you think you are?  facebook?,2/15/2016 9:44,headspace,google,facebook,,,1
2,might be a good app but uninstalled when asked for my facebook details.,3/25/2015 17:50,headspace,google,facebook,,,1
1,"i donÃ£Â¢Ã¢ÂÃ¢Ât care how relaxing your app is.  stop following this schematic of make money and make users sign in with facebook or email.  not long ago, you could download an app and simply use it.  and then it was maybe a few bucks to continue.  now the first thing i see is $60, give us your facebook or email.  yeah....not happening.  money hungry degenerates.  hyenas.",6/19/2018 19:11,calm,apple,facebook,,,1
1,immediately shared my info with facebook,1/12/2021 20:26,calm,google,facebook,,,1
1,"fraudulent, so i open the app to start using it. 1st off it wants your facebook or email to create a account. then 2nd they only give you a 7-day trial and after that its 69.99 per year. i thought this was a free app. my mistake if i missed that disclosure somewhere, but you got to give someone more than 7 days to feel this out if you want my 70 bucks a year. i think that is so deceitful you get my info so you can bug me, when your app didn't do anything.",10/27/2020 1:48,calm,google,facebook,,,1
1,"doesn't let you change the white noise. has a lot of repetition for what is supposed to be a wide variety of meditations. the white noise should continue after meditations- especially for the sleep ones but instead it gives you a prompt to either say done or share. why would i share this on facebook? so you can make more money? and why on earth would you say ""open your eyes"" at the end of a sleep session?!? this is a rip off and i'm upset that i paid for a whole year only to learn how all the sessions are basically the same after purchasing. oh yeah and the white noise has a bird in it and a door slam. cheap.",9/29/2014 7:43,calm,apple,facebook,,,1
1,won't even let me sign up after collecting all of my facebook data. basically just stole my identity.,3/25/2015 5:56,happify,apple,facebook,,,1
1,"there is no reason for an app like this to require signin just to test it. that's a sure sign that the developers are gathering email and facebook info for resale. they make money no matter what you do. and promises that they do no such thing? yeah, and i've got some beach property in arizona i'll sell cheap.",5/18/2016 3:27,headspace,apple,facebook,,,1
1,you connected my facebook.why do you need my email to connect. obviously scamming mails,11/3/2018 12:27,headspace,google,facebook,,,1
1,"pathetic only login with facebook option is there, login with email id is disabled. worst thing ever seen.",9/8/2018 14:30,headspace,google,facebook,,,1
1,very stupid that the only way to create an account is by facebook of spotify.,8/23/2018 5:38,headspace,google,facebook,,,1
1,"sign in with facebook? don't have it, don't want it. sign in with spotify? don't have it, don't want it. i'm not making an account to try this app out. at least let me try it out to decide if i want to sign up. one star.",8/12/2017 19:13,headspace,google,facebook,,,1
1,"i couldn't even log in to an account to use the app! total waste of a dow nload! i tried logging in several times and each and every one ended in the same result, some how an app i've never even heard off before has access to all three of my different email accounts and my facebook account! it's crazy! this app doesn't even offer any type of account recovery which is also odd. it sucks i couldn't try it but it was probably too blan for me anyway",7/6/2017 10:08,headspace,google,facebook,,,1
1,y do u need my facebook nd email accoun? i deleted this app rt after it asked me 4 my email,5/25/2017 12:42,headspace,google,facebook,,,1
1,"originally downloaded this app and signed in with facebook, then decided i didn't want the app to have access to my facebook account so i uninstalled and deleted the app from facebook.  i then reinstalled the android app and tried to create an account using my email address instead of facebook, but it said my email address was already taken! so, it seems i am now forever limited to signing in with facebook which i'm not prepared to do. uninstalled.  again.  permanently. (not very relaxing really...)",1/15/2017 15:57,headspace,google,facebook,,,1
1,"no thanks. i don't need facebook's approval to meditate, lol.",12/22/2016 16:45,headspace,google,facebook,,,1
1,downloaded the app from a menshealth link in facebook; but when attempting to sign up with facebook it said 'this user' is already registered? i was unable to log in using my details. is this a scam!!!!!!!,1/10/2016 5:35,headspace,google,facebook,,,1
2,you know what's not calming? having to go through a bunch of prompts and sign in to facebook before you can use the app.,11/12/2019 15:50,calm,google,facebook,,,1
2,i was really looking forward to using this app after hearing positive reviews from friends. sadly it seems to crash or simply not load when i try to sign up and log in with my facebook details.,10/11/2018 19:09,sanvello,google,facebook,,,1
1,"what happens when an amazing app gets screwed by money hungry investors looking to increase their arpus? miffed users. nothing is accessible anymore without giving your credit card information. this could've been facebook for meditation, sadly it won't.",2/20/2021 1:22,calm,google,facebook,,,1
1,"again, another app where one needs to create an account or use a facebook account. i donÃ£Â¢Ã¢ÂÃ¢Ât use facebook, i donÃ£Â¢Ã¢ÂÃ¢Ât need to keep track, set goals, share my progress, graze with all the sheep out there. i just want to listen to some soothing background sounds.  

the search continues...",7/25/2018 21:51,calm,apple,facebook,,,1
1,"calm, curious - why do you need my email address/facebook account to help me sleep better? what is it that youÃ£Â¢Ã¢ÂÃ¢Âll do different with my account information that you canÃ£Â¢Ã¢ÂÃ¢Ât do otherwise?
happy to change my 1-star review rating if/when i receive a proper response.",6/5/2019 7:23,calm,apple,facebook,,,1
1,"upset did not state that it charged 69.99 until after installed. free trial for 7 days then charged to your credit card.my card is not on file on facebook yet it had my info. that is disturbing to me.so i don't car ed if you offered me a new life with a 100,000 thrown in, you were not honest upfront.",1/19/2021 20:41,calm,google,facebook,,,1
1,"horrible account creation process - wants you to type your facebook password in their application (which they could steal), and if you choose email it doesn't support android's auto-password generation capabilities.",8/29/2020 17:55,calm,google,facebook,,,1
1,what a joke. lol $70 a year to hear rain. yea right who would pay that?? and they wanna sign in thru your facebook so they can grab all your info. whoever made this app was an idiot.,1/22/2020 6:05,calm,apple,facebook,,,1
1,stupid app never said it was gonna cost 70 dollars! they got all my info from facebook and now i uninstalled it and they still keep all your info.... wack! do not install unless you plan on spending 70 bucks.,8/4/2020 1:34,calm,google,facebook,,,1
1,why do i need to provide facebook information or create a login and then pay a subscription? this is unnecessarily intrusive and way overpriced just sell the product at a fair one-time price without the need for a login or facebook information. uninstalled.,7/27/2020 2:42,calm,google,facebook,,,1
1,not free. 7 days try then Ã£Â¢Ã¢Â£28.99 a year. they only tell you that after you give them your email or facebook details. uninstalled. this review is about the the lie of in-app purchases and not clear description. it might be a good app see other reviews. but 7 days if free only.,7/1/2020 1:25,calm,google,facebook,,,1
1,"no one can expect to know if the content of this app actually helps within a seven day trial. i opened the app, it asked to associate with my facebook, which usually i decline email and other details, but this time i let hope get the best of me, expecting a safe app i allowed my email and birthday to be consumed. i was then greeted to the threat of looming avarice a week away. so i tried to edit my email to blank, but it didn't permit me, reneging upon it's optionality, breaking trust.",6/8/2020 7:13,calm,google,facebook,,,1
1,it may be good. it may not. i tried to get the app going 3x unsuccessfully. facebook login (which asks for photos for some reason??) just started the app enrollment flow over and wouldn't allow you to log in after granting the permissions.  work on the enrollment flow and watch those permissions and i'm sure you will be more successful. best of luck!,12/20/2015 5:48,happify,apple,facebook,,,1
1,"sign up involves answering a lengthy set of confidential questions about your physical/emotional/mental well-being. then at the end, to complete account creation, the app requires providing your facebook credentials!!! i don't think so!

sketchy sign up. uninstall.",11/19/2016 18:45,happify,apple,facebook,,,1
1,"1) for some reason, the app displays sideways on my ipad, and i got a severe strain trying to hold my head at an awkward angle.

2) the app wants me to create an account or sign in with facebook. i need an account to sleep or meditate? oh, headspace need me to have an account. but why? whatÃ£Â¢Ã¢ÂÃ¢Âs going on?

3) it turns out that it will cost me $144 year to meditate with this app. that sounds expensive, but itÃ£Â¢Ã¢ÂÃ¢Âs less than $1 a day. isnÃ£Â¢Ã¢ÂÃ¢Ât peace of mind worth a little tiny dollar? not if they cant be bothered to create a landscape mode. seriously, youÃ£Â¢Ã¢ÂÃ¢Âre going to charge me that much money, give me an app that i can use the way i want.

4) to the developer: you're welcome for sharing my thoughts. let me know if you need a snake oil squeezer, iÃ£Â¢Ã¢ÂÃ¢Âm looking for a second job so i can afford your app.",7/11/2019 2:34,headspace,apple,facebook,,,1
1,"avoid: app is full of invasive trackers sharing your data with facebook and many other companies, all without even logging in. the scum behind this app only care about monetizing their users as much as possible.",12/26/2019 1:17,calm,google,facebook,,,1
1,"it comes across as a moneymaking app. everything on here you can get for free on youtube, plus they ask you to sign in with facebook, why do they need to know your facebook details. will be deleting",4/28/2019 17:48,calm,google,facebook,,,1
1,i don't want to create an account or give you all my details by using my facebook or spotify account just to use your meditation app.  especially not for your app with a subscription fee.  you can't see any part of the app without logging in.  boo.  deleted.,2/21/2017 3:14,headspace,apple,facebook,,,1
1,"facebook! why is this app sending/selling my device info/data to facebook, i don't even have a facebook account, nor is or never have been installed on my device. of course i find this out from norton, after i purchased an annual subscription to calm!",1/23/2019 23:33,calm,google,facebook,,,1
1,"t.v. commercial states this app is free to the unemployed. after downloading it, it requires you to sign-up to use it. if you choose to use an email account to do so, it does not work! it states ""something"" is wrong! when nothing is! it wants you to sign-up using facebook so they can gather your data for free!",5/26/2020 14:54,headspace,google,facebook,,,1
1,would give zero stars. wont let me login via my facebook app. demands my email address. ive deleted the app. i dont wish to share my email address.,1/9/2020 19:14,headspace,google,facebook,,,1
1,"i have never even seen the inside of the app, it doesn't want to log in i tried using the email address it says something went wrong, i try logging in using facebook then it doesn't want to pass the part about email address again so if u want to maintain peace and quite don't waste your time and data on this app",1/6/2020 3:48,headspace,google,facebook,,,1
1,"this was supposed to clear my head, but it wants all my info including facebook friends, for what reason? i'm fed up with being conned into giving info out, just charge a one off fee and let us be!!! now deleted, but it's probably too late, thanks for screwing over the people that try.",12/19/2017 13:34,headspace,google,facebook,,,1
1,"i can understand having a call to action to get people to subscribe to the full service, but this was not the way to go about it. i immediately get spammed with email as soon as i signed up. glad i didn't sign up with facebook as it wants to access your list of contacts as well.  the app could have been a lot classier by letting you dip into the meditations without all the up-sell or even having to create an account.",8/27/2013 2:32,headspace,google,facebook,,,1
1,this app reports to facebook (off facebook activity) that you are using the app. i think that represents an unforgivable breach of trust.,8/17/2020 18:20,sanvello,google,facebook,,,1
1,i liked this app for mood tracking until i noticed that it was sharing info with facebook. gross!,5/19/2020 11:20,sanvello,google,facebook,,,1
1,"you have to have a facebook account that steals all of our information including our medical registries , you have to have a log in ( why not let users use it since we've bought it ? ) , and either i agree with you tracking offline otherwise i can't use it! what the fk is this? i just wanted to unwind not to allow you make me more stressed",4/16/2019 10:40,sanvello,google,facebook,,,1
1,5 user trackers within this app including 4 separate trackers each sharing user information with facebook. does facebook really need to know more about your use of mental health app? they destroy wellbeing.,12/22/2018 10:48,sanvello,google,facebook,,,1
2,this app doesn't import recipes. it doesn't have gps tracking. this app doesn't create routes. but it is relaxing.,11/14/2019 16:34,headspace,google,gps,,,1
1,and exactly why must i have to sign up for an account to use this app???  akin to a flashlight app wanting access to my contacts and gps control.  makes no sense and in unnecessary for functionality.  uninstalled within the same 2 minutes as it was installed.,4/7/2018 11:33,headspace,google,gps,,,1
1,"we may collect certain information automatically through our services or other methods of web analysis, such as your internet protocol (ip) address, cookie identifiers, mobile carrier, mobile advertising identifiers, mac address, imei, advertiser id, game center id, and other device identifiers that are automatically assigned to your computer or device when you access the internet, browser type and language, geolocation information, hardware type, operating system, internet service provider...",12/7/2019 18:42,calm,google,imei,,,1
1,"i installed it and found out that it gathers info about my imei, mac address network provider and such... it should be just a bloody meditation app and nothing more.",11/9/2019 13:33,calm,google,imei,,,1
1,"garbage, they track and collect a lot of sensitive data for a paid service :)). 7 days of free trial after you collected my ip, imei, sites i visit etc.. f off",10/21/2019 1:46,calm,google,imei,,,1
1,"installed but when i read the incredibly invasive privacy disclaimer deleted immediately! you give them consent to track you on the internet, your email, phone number, job history cv ! no way !!",4/18/2019 4:31,calm,google,job history,privacy,,1
2,do not get unless you are willing to give people your address name and last name.and think about it some random people can give other people your phone number just read the privacy settings.be safe when you get an app like this or instagram,11/5/2018 13:45,headspace,google,last name,privacy,,1
2,not safe do not download not a bot this is horrible it asked for my first name last name and where i live like wth heck no i do not appreciate them knowing where i live or my last name plz plz plz do not download for your safety don't try different apps just not this one plz check reviews before downloading it!,6/15/2021 22:40,headspace,google,last name,,,1
